Image_Url	Number_of_columns	Number_of_rows	empty_cells_ratio	Is_coorelation	Is_caption_descriptive	Is_columns_descriptive	ratio_str_vs_int	is_cols_var_def	is_cols_model_results	Label
pngs\Descriptive_stats\AckermannT#WidjajaT#BenlianA#BuxmannP_2012_Perceived_IT_Security_Risks_of_Cloud_Computing_-_Conceptualization_and_Scale_Development_ICIS-Table9-1.png	8	6	0.0	0	1	1	100	0	0	Descriptive_stats
pngs\Model_results\AdamopoulosP#GhoseA#TodriV_2018_Demand_Effects_of_the_Internet-of-Things_Sales_Channel_ICIS-Table8-1.png	19	6	0.3157894736842105	0	1	1	2.1666666666666665	0	1	Model_results
pngs\Model_results\AdamopoulosP#GhoseA#TodriV_2018_Demand_Effects_of_the_Internet-of-Things_Sales_Channel_ICIS-Table3-1.png	17	7	0.33613445378151263	0	1	1	1.975	0	1	Model_results
pngs\Model_results\AdamopoulosP#GhoseA#TodriV_2018_Demand_Effects_of_the_Internet-of-Things_Sales_Channel_ICIS-Table6-1.png	18	7	0.36507936507936506	0	1	1	1.7391304347826086	0	1	Model_results
pngs\Model_results\AdamopoulosP#GhoseA#TodriV_2018_Demand_Effects_of_the_Internet-of-Things_Sales_Channel_ICIS-Table7-1.png	12	5	0.2	0	1	1	4.0	0	1	Model_results
pngs\Model_results\AdamopoulosP#GhoseA#TodriV_2018_Demand_Effects_of_the_Internet-of-Things_Sales_Channel_ICIS-Table11-1.png	7	5	0.22857142857142856	0	0	0	3.375	0	0	Model_results
pngs\Model_results\AdamopoulosP#GhoseA#TodriV_2018_Demand_Effects_of_the_Internet-of-Things_Sales_Channel_ICIS-Table12-1.png	17	7	0.3949579831932773	0	0	1	1.5319148936170213	0	1	Model_results
pngs\Model_results\AdamopoulosP#GhoseA#TodriV_2018_Demand_Effects_of_the_Internet-of-Things_Sales_Channel_ICIS-Table4-1.png	20	6	0.325	0	0	1	2.076923076923077	0	1	Model_results
pngs\Model_results\AdamopoulosP#GhoseA#TodriV_2018_Demand_Effects_of_the_Internet-of-Things_Sales_Channel_ICIS-Table10-1.png	9	5	0.2222222222222222	0	0	1	3.5	0	1	Model_results
pngs\Model_results\AdamopoulosP#GhoseA#TodriV_2018_Demand_Effects_of_the_Internet-of-Things_Sales_Channel_ICIS-Table9-1.png	18	5	0.24444444444444444	0	1	1	3.090909090909091	0	1	Model_results
pngs\Model_results\AdamopoulosP#GhoseA#TodriV_2018_Demand_Effects_of_the_Internet-of-Things_Sales_Channel_ICIS-Table5-1.png	19	5	0.2	0	0	1	4.0	0	1	Model_results
pngs\Descriptive_stats\AdamopoulosP#TodriV_2014_Social_Media_Analytics_-_The_Effectiveness_of_Promotional_Events_on_Brand_User_Base_in_Social_Media_ICIS-Table1-1.png	8	6	0.0	0	1	1	100	1	0	Descriptive_stats
pngs\Descriptive_stats\AdamopoulosP#TodriV_2014_Social_Media_Analytics_-_The_Effectiveness_of_Promotional_Events_on_Brand_User_Base_in_Social_Media_ICIS-Table3-1.png	9	4	0.0	0	1	1	100	0	0	Descriptive_stats
pngs\Descriptive_stats\AgarwalA#HosanagarK#SmithM_2011_Sponsored_Search_-_Do_Organic_Results_help_or_hurt_the_Performance_and_under_what_conditions_ICIS-Table1-1.png	13	5	0.0	0	1	1	100	0	0	Descriptive_stats
pngs\Descriptive_stats\AgarwalA#HosanagarK#SmithM_2011_Sponsored_Search_-_Do_Organic_Results_help_or_hurt_the_Performance_and_under_what_conditions_ICIS-Table4-1.png	9	4	0.2777777777777778	0	1	1	2.6	0	0	Descriptive_stats
pngs\Model_results\AgogoD#HessT_2016_Blind_to_Time_-_Temporal_Trends_in_Effect_Sizes_in_IS_Research_ICIS-Table2-1.png	18	5	0.23333333333333334	0	1	0	3.2857142857142856	0	0	Model_results
pngs\Descriptive_stats\AierS_2012_Strategies_for_Establishing_Service_Oriented_Design_in_Organizations_ICIS-Table5-1.png	9	6	0.09259259259259259	0	0	1	9.8	0	0	Descriptive_stats
pngs\Descriptive_stats\AkterS#D'AmbraJ#RayP_2011_Modeling_Quality_Dynamics_in_IT_Services_Management_ICIS-Table6-1.png	5	8	0.05	0	1	1	19.0	0	1	Descriptive_stats
pngs\Variable_def\AkterS#D'AmbraJ#RayP_2011_Modeling_Quality_Dynamics_in_IT_Services_Management_ICIS-Table2-1.png	5	3	0.0	0	1	0	100	1	0	Variable_def
pngs\Coorleation\AkterS#D'AmbraJ#RayP_2011_Modeling_Quality_Dynamics_in_IT_Services_Management_ICIS-Table5-1.png	11	13	0.3146853146853147	0	1	0	2.1777777777777776	0	0	Coorleation
pngs\Descriptive_stats\AkterS#D'AmbraJ#RayP_2011_Modeling_Quality_Dynamics_in_IT_Services_Management_ICIS-Table4-1.png	11	6	0.0	0	0	1	100	0	0	Descriptive_stats
pngs\Coorleation\AkterS#RayP#D'AmbraJ_2011_Viewing_Systems_as_Services_-_The_Role_of_Service_Quality_ICIS-Table5-1.png	7	9	0.23809523809523808	0	1	0	3.2	0	0	Coorleation
pngs\Descriptive_stats\AladalahM#CheungY#LeeV_2017_Gov2.0_-_Public_Value_Enabler_ICIS-Table5-1.png	6	5	0.0	0	0	1	100	0	0	Descriptive_stats
pngs\Variable_def\AladalahM#CheungY#LeeV_2017_Gov2.0_-_Public_Value_Enabler_ICIS-Table1-1.png	7	3	0.0	0	0	0	100	1	0	Variable_def
pngs\Coorleation\AlashoorT#Al-MaidaniN#Al-JabriI_2018_The_Privacy_Calculus_under_Positive_and_Negative_Mood_States_ICIS-Table2-1.png	7	11	0.2077922077922078	0	0	1	0.7906976744186046	0	0	Coorleation
pngs\Variable_def\AlashoorT#BaskervilleR_2015_The_Privacy_Paradox_-_The_Role_of_Cognitive_Absorption_in_the_Social_Networking_Activity_ICIS-Table1-1.png	10	2	0.4	0	0	0	1.5	0	0	Variable_def
pngs\Variable_def\AlaviM#JohnsonS#RnT#YooY_2010_IT-ENABLED_KNOWLEDGE_MANAGEMENT_IN_HEALTHCARE_DELIVERY_-_THE_CASE_OF_EMERGENCY_CARE_ICIS-Table2-1.png	12	2	0.0	0	0	1	100	1	0	Variable_def
pngs\Coorleation\AlaviM#JohnsonS#RnT#YooY_2010_IT-ENABLED_KNOWLEDGE_MANAGEMENT_IN_HEALTHCARE_DELIVERY_-_THE_CASE_OF_EMERGENCY_CARE_ICIS-Table3-1.png	11	13	0.32867132867132864	0	0	0	0.2882882882882883	0	0	Coorleation
